Date : 2025-12-04 14:39:53
Directory : /Applications/XAMPP/xamppfiles/htdocs/student023/shop
Total : 119 files,  28610 codes, 268 comments, 6756 blanks, all 35634 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PostCSS    |         25 |     22,472 |        139 |      5,983 |     28,594 |
| PHP        |         70 |      2,336 |         98 |        343 |      2,777 |
| JSON       |          4 |      1,644 |          0 |          5 |      1,649 |
| JavaScript |         12 |        886 |         22 |        160 |      1,068 |
| HTML       |          4 |        692 |          9 |        138 |        839 |
| SCSS       |          4 |        580 |          0 |        127 |        707 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        119 |     28,610 |        268 |      6,756 |     35,634 |
| . (Files)                                                                                                                 |          5 |      1,738 |          0 |          6 |      1,744 |
| assets                                                                                                                    |         20 |     18,967 |        138 |      5,873 |     24,978 |
| assets/fontawesome                                                                                                        |         20 |     18,967 |        138 |      5,873 |     24,978 |
| assets/fontawesome/css                                                                                                    |         20 |     18,967 |        138 |      5,873 |     24,978 |
| backend                                                                                                                   |         70 |      2,336 |         98 |        343 |      2,777 |
| backend (Files)                                                                                                           |          3 |        220 |          0 |         42 |        262 |
| backend/admin                                                                                                             |          5 |        246 |          0 |         19 |        265 |
| backend/checkout                                                                                                          |          6 |        169 |          0 |         12 |        181 |
| backend/config                                                                                                            |          1 |         11 |          0 |          4 |         15 |
| backend/customer                                                                                                          |          4 |        346 |          0 |         22 |        368 |
| backend/db                                                                                                                |         19 |        497 |         65 |        119 |        681 |
| backend/db (Files)                                                                                                        |          2 |         77 |          8 |         23 |        108 |
| backend/db/customers                                                                                                      |          4 |        165 |         18 |         38 |        221 |
| backend/db/orders                                                                                                         |          2 |         50 |          3 |          9 |         62 |
| backend/db/products                                                                                                       |          4 |        102 |         21 |         26 |        149 |
| backend/db/reviews                                                                                                        |          4 |         57 |          0 |          9 |         66 |
| backend/db/shopping_cart                                                                                                  |          3 |         46 |         15 |         14 |         75 |
| backend/endpoints                                                                                                         |         14 |        335 |         28 |         64 |        427 |
| backend/forms                                                                                                             |          8 |        196 |          1 |         12 |        209 |
| backend/forms/products                                                                                                    |          5 |        169 |          1 |         10 |        180 |
| backend/forms/shopping_cart                                                                                               |          3 |         27 |          0 |          2 |         29 |
| backend/includes                                                                                                          |          8 |        305 |          4 |         49 |        358 |
| backend/security                                                                                                          |          2 |         11 |          0 |          0 |         11 |
| css                                                                                                                       |          9 |      4,085 |          1 |        237 |      4,323 |
| css (Files)                                                                                                               |          4 |      2,740 |          1 |        107 |      2,848 |
| css/sass                                                                                                                  |          5 |      1,345 |          0 |        130 |      1,475 |
| js                                                                                                                        |         12 |        886 |         22 |        160 |      1,068 |
| views                                                                                                                     |          3 |        598 |          9 |        137 |        744 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/all.css                                      | PostCSS    |      8,058 |         19 |      2,586 |     10,663 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/all.min.css                                  | PostCSS    |          3 |          5 |          1 |          9 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/brands.css                                   | PostCSS    |      1,664 |          5 |        550 |      2,219 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/brands.min.css                               | PostCSS    |          1 |          5 |          0 |          6 |
